English,Portuguese
I,eu
you,você
he,ele
she,ela
it,isto/isso
we,nós
they,eles/elas
me,mim
him,ele (objeto)
her,ela (objeto)
us,nós (objeto)
them,eles/elas (objeto)
my,meu/minha
your,seu/sua
his,dele
her,dela
its,dele/dela (coisas)
our,nosso
their,deles/delas
be,ser/estar
am,sou/estou
is,é/está
are,são/estão/somos
was,era/estava
were,eram/estavam
been,sido/estado
have,ter
has,tem
had,tinha/teve
do,fazer
does,faz
did,fez
done,feito
say,dizer
said,disse
go,ir
went,foi
gone,ido
get,obter/ficar/chegar
got,obteve/ficou
make,fazer/criar
made,feito/fez
know,saber/conhecer
knew,soube/conheceu
take,pegar/levar
took,pegou/levou
see,ver
saw,viu
seen,visto
come,vir
came,veio
think,pensar/achar
thought,pensou/pensamento
look,olhar/parecer
want,querer
give,dar
gave,deu
use,usar
find,achar/encontrar
found,achou/encontrado
tell,contar/dizer
told,contou/disse
ask,perguntar/pedir
work,trabalhar/trabalho
seem,parecer
feel,sentir
felt,sentiu
try,tentar
leave,sair/deixar
left,saiu/esquerda
call,chamar/ligar
good,bom
well,bem
best,melhor
better,melhor (comparativo)
bad,ruim
worst,pior
worse,pior (comparativo)
new,novo
old,velho
first,primeiro
last,último/passado
long,longo
great,grande/ótimo
little,pequeno/pouco
own,próprio
other,outro
another,outro (adicional)
right,certo/direita
wrong,errado
big,grande
small,pequeno
large,largo/grande
high,alto
low,baixo
early,cedo
late,tarde
important,importante
few,poucos
many,muitos
much,muito
some,algum
any,qualquer/nenhum
every,todo/cada
all,tudo/todos
the,o/a/os/as
a,um/uma
an,um/uma
and,e
but,mas
or,ou
as,como
if,se
because,porque
while,enquanto
although,embora
until,até
with,com
without,sem
for,para/por
at,em/no/na
in,em/dentro
on,em/sobre
to,para
from,de/origem
by,por/perto de
about,sobre/cerca de
up,cima
down,baixo
out,fora
over,sobre/acima
under,sob/debaixo
again,novamente
ever,sempre/alguma vez
never,nunca
always,sempre
sometimes,às vezes
often,frequentemente
usually,geralmente
now,agora
then,então/depois
here,aqui
there,lá/ali
where,onde
when,quando
why,por que
how,como
who,quem
which,qual/o qual
what,o que/qual
so,então/tão
very,muito
too,também/demais
just,apenas/acabar de
only,apenas/somente
also,também
more,mais
less,menos
most,a maioria/o mais
people,pessoas
man,homem
woman,mulher
child,criança
children,crianças
friend,amigo
family,família
world,mundo
country,país
life,vida
time,tempo/vez
year,ano
day,dia
week,semana
month,mês
hour,hora
way,caminho/jeito
part,parte
thing,coisa
point,ponto/questão
case,caso
fact,fato
government,governo
company,empresa
group,grupo
problem,problem
home,casa/lar
house,casa (construção)
room,quarto/sala/espaço
place,lugar
school,escola
state,estado
system,sistema
power,poder/energia
money,dinheiro
water,água
food,comida
car,carro
book,livro
word,palavra
name,nome
number,número
side,lado
end,fim
start,começo
back,costas/atrás
hand,mão
head,cabeça
eye,olho
face,rosto
heart,coração
body,corpo
health,saúde
job,emprego/trabalho
business,negócio
market,mercado
idea,ideia
story,história
question,pergunta
answer,resposta
reason,razão/motivo
area,área
course,curso
level,nível
order,ordem/pedido
change,mudança/trocar
help,ajuda
night,noite
morning,manhã
afternoon,tarde
evening,noite (início)
today,hoje
yesterday,ontem
tomorrow,amanhã
next,próximo
real,real
true,verdadeiro
false,falso
hard,difícil/duro
easy,fácil
possible,possível
likely,provável
clear,claro
free,livre/grátis
full,cheio
open,aberto
close,fechado/perto
near,perto
far,longe
together,juntos
both,ambos
each,cada
between,entre (dois)
among,entre (vários)
against,contra
during,durante
through,através
above,acima
below,abaixo
since,desde
before,antes
after,depois
become,tornar-se
show,mostrar
hear,ouvir
listen,escutar
play,jogar/tocar/brincar
run,correr
move,mover/mudar
live,viver/morar
believe,acreditar
bring,trazer
brought,trouxe
happen,acontecer
write,escrever
wrote,escreveu
read,ler
sit,sentar
stand,ficar de pé
pay,pagar
meet,encontrar/conhecer
let,deixar/permitir
keep,manter
begin,começar
began,começou
start,iniciar
stop,parar
talk,conversar
walk,andar
follow,seguir
lead,liderar
hold,segurar
carry,carregar
learn,aprender
understand,entender
mean,significar/querer dizer
remember,lembrar
forget,esquecer
lost,perdido
win,ganhar (vencer)
lose,perder
fall,cair
fell,caiu
cut,cortar
build,construir
buy,comprar
sell,vender
send,enviar
receive,receber
stay,ficar/permanecer
fall,outono/cair
dream,sonho
hope,esperança/esperar
fear,medo
love,amor
hate,ódio
peace,paz
war,guerra
law,lei
history,história (estudo)
art,arte
music,música
science,ciência
nature,natureza
city,cidade
town,cidade (pequena)
street,rua
road,estrada
door,porta
window,janela
table,mesa
chair,cadeira
black,preto
white,branco
red,vermelho
blue,azul
green,verde
yellow,amarelo
dark,escuro
light,luz/claro
large,grande
kind,tipo/gentil
sort,tipo/espécie
enough,suficiente
almost,quase
already,já
yet,ainda
still,ainda
maybe,talvez
perhaps,talvez
sure,certeza
certainly,certamente
actually,na verdade
instead,em vez de
quite,bastante
rather,preferencialmente/um tanto